indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
86.13,23.29,84.31,26.96,1
86.14,18.63,84.31,26.96,1
87.25,11.76,84.31,26.96,1
83.82,61.88,84.31,26.96,1
80.5,20,84.31,26.96,0
79.52,7.55,84.31,26.96,1
78.35,23.81,84.31,26.96,0
82.41,21.48,84.31,26.96,1
80.7,44.97,84.31,26.96,1
85.81,22.3,84.31,26.96,1
79.33,39.78,84.31,26.96,1
83.28,44.48,84.31,26.96,1
82.14,59.53,84.31,26.96,0
85.21,4.55,84.31,26.96,1
86.24,28.57,84.31,26.96,1
88.37,6.82,84.31,26.96,1
81.12,33.33,84.31,26.96,1
85.26,7.08,84.31,26.96,0
82.2,57.69,84.31,26.96,1
83.67,12.55,84.31,26.96,1
83.35,19.77,84.31,26.96,0
83.92,12.12,84.31,26.96,1
86.3,39.84,84.31,26.96,0
89.68,50.82,84.31,26.96,1
87.11,10.82,84.31,26.96,0
85.41,24.74,84.31,26.96,1
77.83,58.43,84.31,26.96,1
85.64,8.14,84.31,26.96,1
80.9,40.27,84.31,26.96,1
81.33,8.06,84.31,26.96,1
87.3,26.47,84.31,26.96,0
88.33,12.17,84.31,26.96,1
79.45,9.43,84.31,26.96,1
84.85,34.19,84.31,26.96,1
82.02,49.02,84.31,26.96,1
84.27,9.52,84.31,26.96,1
90.41,1.52,84.31,26.96,1
85.57,22.22,84.31,26.96,1
89.03,7.14,84.31,26.96,1
78.76,26.67,84.31,26.96,1
78.38,86.56,84.31,26.96,1
86.37,16.24,84.31,26.96,1
83.15,10.2,84.31,26.96,1
81.12,52.14,84.31,26.96,1
85.4,6.25,84.31,26.96,1
83.95,69.31,84.31,26.96,1
80.94,39.6,84.31,26.96,0
80.14,55.9,84.31,26.96,1
86.9,12.16,84.31,26.96,1
86.09,35.88,84.31,26.96,1
85.62,46.56,84.31,26.96,1
85.46,21.57,84.31,26.96,1
87.11,30.15,84.31,26.96,1
83.79,13.64,84.31,26.96,1
87.75,7.07,84.31,26.96,1
82.75,54.61,84.31,26.96,0
78.57,29.17,84.31,26.96,1
86.23,18.56,84.31,26.96,1
81.97,7,84.31,26.96,1
80.45,25.95,84.31,26.96,1
81.54,23.13,84.31,26.96,1
82.62,10.1,84.31,26.96,1
82.76,79.89,84.31,26.96,0
83.54,43.42,84.31,26.96,1
83.54,43.42,84.31,26.96,1
83.07,2.7,84.31,26.96,1
79,50.34,84.31,26.96,1
86.87,12.5,84.31,26.96,1
85.83,3.82,84.31,26.96,1
79.35,33.33,84.31,26.96,1
83.47,4.55,84.31,26.96,0
80.73,31.29,84.31,26.96,1
81.73,46.23,84.31,26.96,1
82.6,17.14,84.31,26.96,1
79.28,27,84.31,26.96,1
83.4,16.36,84.31,26.96,1
85.1,50,84.31,26.96,1
81.82,35.61,84.31,26.96,1
86.65,19.63,84.31,26.96,1
79.54,54.74,84.31,26.96,1
82.57,3.45,84.31,26.96,1
83.14,12.5,84.31,26.96,1
85.59,0.71,84.31,26.96,1
81.47,31.18,84.31,26.96,1
80.55,7.09,84.31,26.96,1
85.95,38.75,84.31,26.96,1
85.23,45.45,84.31,26.96,0
85.1,6.45,84.31,26.96,1
86.16,18.24,84.31,26.96,1
81.31,66.84,84.31,26.96,1
83.99,15.97,84.31,26.96,1
85.14,47.4,84.31,26.96,1
87.32,24.36,84.31,26.96,1
78.5,41.84,84.31,26.96,1
81.02,30,84.31,26.96,1
82,17.65,84.31,26.96,0
85.23,7.56,84.31,26.96,0
80.26,81.61,84.31,26.96,1
92.52,9.17,84.31,26.96,1
81.21,26.19,84.31,26.96,1
82.73,20,84.31,26.96,1
82.13,25,84.31,26.96,1
82.43,39.54,84.31,26.96,0
83.6,22.22,84.31,26.96,1
82.54,40.46,84.31,26.96,1
81.09,19.88,84.31,26.96,0
85.49,23.71,84.31,26.96,1
87.46,8.76,84.31,26.96,1
80.26,43.68,84.31,26.96,1
78.34,17.36,84.31,26.96,1
84.74,56.08,84.31,26.96,1
82.87,31.4,84.31,26.96,1
85.01,30.93,84.31,26.96,1
87.32,10.16,84.31,26.96,1
87.55,8.25,84.31,26.96,1
84.87,33.51,84.31,26.96,1
86.09,17.97,84.31,26.96,0
82.63,9.09,84.31,26.96,1
82.5,4.6,84.31,26.96,1
78.67,36.17,84.31,26.96,1
84.12,41.41,84.31,26.96,1
84.14,56.88,84.31,26.96,1
85.83,34.42,84.31,26.96,1
84.29,43.3,84.31,26.96,1
86.36,17.58,84.31,26.96,1
83.23,56.08,84.31,26.96,1
85.69,44.97,84.31,26.96,1
79.91,84.25,84.31,26.96,1
78.26,53.76,84.31,26.96,0
82.99,16.33,84.31,26.96,1
83.66,5.88,84.31,26.96,1
83.36,7.84,84.31,26.96,1
