,0,1,2,3,4,5,6,7,8,9,10
473,0.0,40.0,50.0,33.33,55.56,33.18,5.15,47.22,100.0,22.32,1.0
550,33.33,30.0,50.0,33.33,55.56,38.15,5.15,59.42,100.0,5.93,1.0
319,100.0,0.0,50.0,33.33,11.11,22.35,1.03,58.33,100.0,10.96,0.0
105,33.33,80.0,75.0,33.33,77.78,54.4,7.22,63.89,100.0,5.37,0.0
616,66.67,40.0,50.0,33.33,55.56,22.35,5.15,77.78,100.0,10.96,1.0
262,66.67,10.0,0.0,6.67,11.11,22.35,1.03,44.44,100.0,10.96,0.0
333,66.67,60.0,75.0,33.33,55.56,22.35,5.15,58.33,100.0,10.96,1.0
423,66.67,30.0,0.0,33.33,11.11,22.35,1.03,86.11,100.0,10.96,1.0
599,0.0,60.0,50.0,33.33,55.56,15.8,5.15,69.44,100.0,2.82,1.0
24,0.0,0.0,50.0,33.33,55.56,22.35,5.15,66.67,100.0,1.41,0.0
229,66.67,40.0,0.0,33.33,11.11,22.35,1.03,52.78,100.0,10.96,0.0
347,0.0,30.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
163,66.67,50.0,50.0,33.33,55.56,37.92,5.15,50.0,100.0,1.13,0.0
602,66.67,80.0,0.0,33.33,55.56,22.35,5.15,91.67,100.0,10.96,1.0
182,66.67,30.0,75.0,46.67,77.78,22.35,3.09,41.67,100.0,10.96,0.0
375,66.67,70.0,0.0,46.67,11.11,22.35,5.15,88.89,100.0,10.96,1.0
32,0.0,40.0,50.0,0.0,55.56,2.93,5.15,77.78,100.0,0.28,0.0
623,66.67,20.0,0.0,33.33,77.78,22.35,5.15,47.22,100.0,10.96,1.0
628,66.67,60.0,75.0,33.33,77.78,22.35,3.09,61.11,100.0,10.96,1.0
458,0.0,100.0,50.0,46.67,55.56,22.35,7.22,59.42,100.0,10.96,1.0
441,33.33,50.0,75.0,46.67,77.78,41.08,7.22,80.56,100.0,21.75,1.0
76,33.33,60.0,50.0,33.33,55.56,49.66,5.15,59.42,100.0,22.03,0.0
19,0.0,40.0,50.0,33.33,77.78,22.8,7.22,61.11,100.0,7.06,0.0
34,0.0,70.0,50.0,33.33,55.56,12.42,5.15,44.44,100.0,3.11,0.0
639,66.67,40.0,0.0,33.33,11.11,22.35,1.03,58.33,100.0,10.96,1.0
247,66.67,50.0,0.0,33.33,77.78,38.37,1.03,63.89,100.0,16.67,0.0
517,0.0,30.0,50.0,33.33,55.56,22.57,5.15,36.11,100.0,4.24,1.0
239,66.67,70.0,75.0,46.67,33.33,22.35,3.09,27.78,100.0,10.96,0.0
314,100.0,0.0,0.0,46.67,77.78,22.35,7.22,44.44,100.0,10.96,0.0
236,66.67,40.0,50.0,33.33,33.33,25.28,5.15,63.89,100.0,1.41,0.0
438,66.67,70.0,0.0,33.33,55.56,27.09,7.22,63.89,100.0,4.8,1.0
95,33.33,60.0,50.0,33.33,55.56,26.64,5.15,50.0,100.0,5.08,0.0
549,33.33,50.0,50.0,33.33,55.56,49.66,5.15,59.42,100.0,10.45,1.0
185,66.67,40.0,25.0,33.33,33.33,22.35,3.09,41.67,100.0,10.96,0.0
60,0.0,80.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
18,0.0,70.0,50.0,33.33,55.56,54.18,5.15,80.56,100.0,4.24,0.0
300,100.0,50.0,25.0,33.33,55.56,22.35,5.15,50.0,100.0,10.96,0.0
53,0.0,50.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
358,33.33,50.0,100.0,33.33,77.78,52.14,7.22,52.78,100.0,35.88,1.0
332,33.33,80.0,50.0,33.33,55.56,23.48,5.15,69.44,100.0,0.56,1.0
383,66.67,40.0,0.0,33.33,11.11,22.35,5.15,36.11,100.0,10.96,1.0
97,33.33,30.0,75.0,46.67,77.78,41.08,7.22,83.33,100.0,4.52,0.0
568,66.67,20.0,25.0,46.67,77.78,45.6,7.22,75.0,100.0,1.69,1.0
302,100.0,0.0,25.0,33.33,55.56,22.35,5.15,50.0,100.0,10.96,0.0
339,0.0,10.0,50.0,33.33,55.56,31.38,5.15,36.11,100.0,22.03,1.0
294,66.67,30.0,25.0,46.67,77.78,22.35,7.22,50.0,100.0,10.96,0.0
30,0.0,30.0,50.0,33.33,55.56,6.77,5.15,41.67,100.0,2.82,0.0
636,66.67,0.0,100.0,46.67,33.33,22.35,3.09,88.89,100.0,10.96,1.0
571,0.0,20.0,50.0,46.67,55.56,22.35,7.22,59.42,100.0,10.96,1.0
231,66.67,30.0,0.0,46.67,11.11,22.35,1.03,52.78,100.0,10.96,0.0
442,33.33,40.0,75.0,46.67,77.78,41.31,7.22,75.0,100.0,4.52,1.0
198,66.67,10.0,50.0,33.33,11.11,43.34,5.15,77.78,100.0,1.13,0.0
145,66.67,80.0,0.0,33.33,11.11,22.35,1.03,41.67,100.0,10.96,0.0
430,66.67,30.0,25.0,33.33,77.78,43.57,7.22,55.56,100.0,10.73,1.0
593,0.0,0.0,50.0,33.33,55.56,33.63,5.15,52.78,100.0,17.8,1.0
