ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
2714,0,0,0,0,0,0,5,1,2.85
2715,0,0,0,0,0,0,6,0,3.22
2716,0,0,0,0,0,0,7,0,2.95
2717,0,0,0,0,0,0,4,0,3.18
2718,0,0,0,0,0,0,4,0,0.00
2719,0,0,0,0,0,0,5,1,2.61
2720,"""Seni Suara/Musik""",Propinsi,0,0,0,0,0,0,3.44
2721,0,0,0,0,0,0,3,1,2.75
2722,0,0,0,0,0,0,3,1,2.44
2723,0,0,0,0,0,0,0,1,3.32
2724,0,0,0,0,0,0,5,0,3.18
2725,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,"""Olimpiade Matematika""",Kabupaten/Kodya,0,0,6,1,2.97
2726,0,0,0,0,0,0,0,1,2.78
2727,0,0,0,0,0,0,0,1,2.58
2728,0,0,0,0,0,0,6,1,2.35
2729,0,0,0,0,0,0,3,1,2.40
2730,0,0,0,0,0,0,8,1,3.54
2731,0,0,0,0,0,0,6,0,2.56
2732,0,0,0,0,0,0,0,1,3.31
2733,0,0,0,0,0,0,8,0,2.26
2734,0,0,0,0,0,0,0,1,2.81
2735,0,0,0,0,0,0,0,0,0.84
2736,0,0,0,0,0,0,2,0,2.61
2737,0,0,0,0,0,0,3,1,2.86
2738,0,0,0,0,0,0,5,1,2.78
2739,0,0,0,0,0,0,5,1,3.17
2740,0,0,0,0,0,0,3,0,3.18
2741,0,0,0,0,0,0,0,1,3.10
2742,0,0,0,0,0,0,6,0,0.24
2743,0,0,0,0,0,0,5,1,3.06
2744,0,0,0,0,0,0,5,1,2.11
2745,0,0,0,0,0,0,5,1,3.19
2746,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Matematika""",Kabupaten/Kodya,"""Olimpiade Matematika""",Kabupaten/Kodya,0,1,3.19
2747,0,0,0,0,0,0,0,1,3.38
2748,0,0,0,0,0,0,0,1,2.39
2749,0,0,0,0,0,0,7,0,2.65
2750,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Matematika""",Propinsi,0,0,5,0,2.68
2751,0,0,0,0,0,0,0,1,3.56
2752,0,0,0,0,0,0,3,1,3.47
2753,0,0,0,0,0,0,4,1,2.83
2754,0,0,0,0,0,0,2,0,3.59
2755,0,0,0,0,0,0,5,1,3.33
2756,0,0,0,0,0,0,0,1,2.93
2757,0,0,0,0,0,0,6,1,3.51
2758,Olahraga,Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,1,1,3.15
2759,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade Matematika""",Nasional,"""Olimpiade Matematika""",Nasional,3,1,2.78
2760,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Astronomi & Astrofisika""",Kabupaten/Kodya,"""Olimpiade Fisika""",Sekolah,0,1,3.22
2761,0,0,0,0,0,0,0,0,3.18
2762,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,3,1,2.50
2763,0,0,0,0,0,0,6,1,3.28
2764,0,0,0,0,0,0,0,1,3.49
2765,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,5,0,1.18
2766,0,0,0,0,0,0,7,1,3.13
2767,0,0,0,0,0,0,0,1,3.08
2768,0,0,0,0,0,0,6,0,2.94
2769,0,0,0,0,0,0,4,1,2.60
2770,0,0,0,0,0,0,2,1,2.36
2771,Olahraga,Kabupaten/Kodya,0,0,0,0,5,0,0.00
2772,0,0,0,0,0,0,7,0,1.94
2773,0,0,0,0,0,0,0,1,3.28
2774,0,0,0,0,0,0,5,1,2.57
2775,0,0,0,0,0,0,3,0,3.21
2776,0,0,0,0,0,0,0,1,3.28
2777,0,0,0,0,0,0,8,0,0.00
2778,0,0,0,0,0,0,0,1,2.44
2779,0,0,0,0,0,0,7,1,3.47
2780,0,0,0,0,0,0,0,1,2.46
2781,0,0,0,0,0,0,3,1,2.89
2782,0,0,0,0,0,0,0,0,3.71
2783,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade Matematika""",Nasional,0,0,6,1,3.22
2784,0,0,0,0,0,0,5,1,2.97
