id_mahasiswa,jumlah_siswa_1_5,indeks_mapel_un_1_5,ranking_mapel_un_1_5,jumlah_siswa_3_5,indeks_mapel_un_3_5,ranking_mapel_un_3_5,lulus_tpb
374,107,83.7963,18,107,83.4444,25,1
375,17,85.2788,8,17,86.4545,8,1
376,194,80.3853,79,194,81.0161,73,1
377,59,77.2973,27,59,77.9524,27,1
378,93,78.26,50,93,80.33,41,1
379,49,82.99,8,49,83.33,8,1
380,112,82.1125,42,112,82.9118,40,1
381,153,83.66,9,153,85.97,8,1
382,153,83.36,12,153,85.62,11,1
383,119,83.78,21,119,71.79,21,1
384,148,85.0809,45,148,85.9651,50,1
385,157,79.93,59,157,81.52,60,1
386,117,85.193,12,117,88.0135,9,1
387,117,82.2281,47,117,84.7568,38,0
388,194,86.51,30,194,88.61,36,1
389,196,81.62,129,196,82.23,112,1
390,106,88.8519,7,106,92.6111,4,1
391,153,81.89,29,153,84.27,18,1
392,26,85.958,1,26,85.9607,2,1
393,211,79.5673,169,211,81.3939,154,1
394,174,84.4087,107,174,86.0985,64,0
395,74,81.1291,56,74,82.1923,53,0
396,174,88.0577,103,174,92.2727,55,1
397,96,88.2423,8,96,88.8342,4,1
398,140,79.5288,54,140,80.1515,68,0
399,171,82.7,104,171,82.8333,115,1
400,106,82.5962,29,106,82.5455,29,1
401,20,90.0667,3,20,91.3889,3,1
402,153,80.76,57,153,83.54,33,1
403,189,88.23,24,189,87.48,21,1
404,26,85.3784,1,26,85.4762,1,1
405,198,86.53,49,198,88.48,42,1
406,31,83.7568,3,31,82.9048,4,1
407,108,81.02,46,108,82.63,46,1
408,49,86.08,2,49,86.58,2,1
409,153,82.10,26,153,84.21,19,1
410,80,80.4074,18,80,80.1667,37,0
411,186,80.87,79,186,71.32,32,1
412,120,81.32,9,120,82.91,11,1
413,222,85.4038,83,222,86.3333,88,1
414,117,83.58,73,117,85.00,47,0
415,143,79.9038,51,143,80.0909,73,1
416,187,82.75,85,187,84.37,55,1
417,187,81.89,110,187,83.67,70,1
418,171,83.4667,75,171,83.2778,99,1
419,153,82.61,18,153,84.18,21,1
420,187,79.9318,154,187,80.5333,135,1
421,70,80.44,21,70,82.11,23,0
422,97,78.44,48,97,81.03,47,1
423,129,82.963,26,129,83,32,1
424,52,77.6667,33,49,78.6667,35,1
425,102,87.7963,5,102,89,7,1
426,102,87.2593,9,102,88.2778,10,0
427,102,87.6481,7,102,89.8333,4,1
428,211,81.67,92,211,83.36,91,1
429,189,85.84,78,189,88.06,15,1
430,102,81.3519,34,102,82.5,36,1
431,58,85.5072,3,58,87.9643,3,0
432,120,77.3193,64,120,79.4026,60,1
433,63,82.60,1,63,84.39,4,1
434,190,79.43,112,190,81.00,104,1
435,106,89.15,4,106,91.50,6,0
436,190,80.8889,61,190,82.2778,53,1
437,89,83.8333,7,89,86.4444,10,1
438,62,87.06,9,62,88.67,11,1
439,89,84.6296,5,89,87.1667,5,0
440,13,84.7067,5,13,86.1163,7,1
441,93,80.8077,33,93,85.3636,31,1
442,73,85.06,38,73,85.78,41,1
443,125,79.041,48,125,80.775,34,1
444,256,85.4231,59,256,86.1818,95,0
445,156,85.2,123,156,87.2051,116,0
446,173,80.89,94,173,81.53,69,1
447,153,80.9828,48,153,83.1026,41,1
448,107,91.5946,5,107,90.9524,16,1
449,75,81.7593,18,75,83.2778,17,1
450,75,81.7778,17,75,82.7778,26,1
451,75,81.0926,32,75,82.3333,34,1
452,222,83.7212,117,222,85.0303,112,1
453,75,83.1667,3,75,84.8333,3,1
454,142,76.7545,88,142,76.2222,80,1
455,153,80.1827,31,153,82.4848,23,1
456,173,88.1538,29,173,88.675,31,1
457,60,71.7642,37,60,72.6745,33,1
458,277,83.9808,251,277,86.697,190,1
459,119,82.64,30,119,69.67,37,1
460,54,80.1697,4,54,81.9714,4,1
461,64,78.4054,36,64,77.8571,36,1
462,42,79.5378,10,42,81.9639,10,1
463,34,84.849,12,34,83.2777,9,1
464,39,89.1892,1,39,88.0952,1,0
465,64,82.3513,1,64,81.9524,3,1
466,64,79.1081,22,64,78.619,19,1
467,154,83.3365,116,154,84.9697,112,1
468,89,81.5556,39,89,83.5556,45,1
469,97,82.963,22,97,81.7778,39,0
