ID,1-IND,1-ING,1-MAT,1-BIO,1-FIS,1-KIM,1-EKO,1-GEO,1-SOS,1-BAS,1-AGM,1-PJO,1-SNB,2-IND,2-ING,2-MAT,2-BIO,2-FIS,2-KIM,2-EKO,2-GEO,2-SOS,2-BAS,2-AGM,2-PJO,2-SNB,3-IND,3-ING,3-MAT,3-BIO,3-FIS,3-KIM,3-EKO,3-GEO,3-SOS,3-BAS,3-AGM,3-PJO,3-SNB,4-IND,4-ING,4-MAT,4-BIO,4-FIS,4-KIM,4-EKO,4-GEO,4-SOS,4-BAS,4-AGM,4-PJO,4-SNB,5-IND,5-ING,5-MAT,5-BIO,5-FIS,5-KIM,5-EKO,5-GEO,5-SOS,5-BAS,5-AGM,5-PJO,5-SNB,indeks_mapel_un_1_5,ranking_mapel_un_1_5,indeks_mapel_un-1,ranking_mapel_un-1,indeks_mapel_un-2,ranking_mapel_un-2,indeks_mapel_un-3,ranking_mapel_un-3,indeks_mapel_un-4,ranking_mapel_un-4,indeks_mapel_un-5,ranking_mapel_un-5
1382,95,83,92,84,84,88,83,83,86,81,85,91,86,98,83,88,87,88,83,81,83,80,90,92,88,87,95,85,89,95,90,81,NULL,NULL,NULL,83,88,84,87,90,88,86,84,84,84,NULL,NULL,NULL,88,85,84,84,85,86,84,84,95,86,NULL,NULL,NULL,84,90,87,84,88.29,56,92.13,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1383,90,86,88,88,90,86,84,84,88,82,80,90,90,90,86,84,84,88,86,84,84,88,84,85,86,82,90,86,84,90,84,86,NULL,NULL,NULL,82,80,90,82,88,88,84,88,88,86,NULL,NULL,NULL,82,85,86,90,84,84,86,88,86,86,NULL,NULL,NULL,84,80,90,82,86.67,8,86.89,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1384,88,70,82,82,85,80,76,NULL,NULL,NULL,73,80,78,81,85,82,75,83,81,82,NULL,NULL,NULL,85,75,83,85,84,82,78,84,86,79,NULL,NULL,NULL,87,87,87,75,85,85,82,84,84,86,NULL,NULL,NULL,82,80,75,87,82,80,86,77,85,82,NULL,NULL,NULL,84,81,85,82.48,5,77.05,94,81.79,4,83.09,3,84.27,4,85.36,6
1385,86,90,81,79,79,85,NULL,NULL,81,85,83,88,89,85,77,85,82,81,78,NULL,NULL,92,87,84,84,76,87,94,89,85,76,85,NULL,NULL,77,85,78,81,80,79,88,80,83,81,90,NULL,NULL,79,86,83,91,92,88,85,80,80,81,81,NULL,NULL,NULL,87,85,85,87,83.66,77,78.37,74,81.89,91,84,74,85.45,76,87.64,82
1386,88,70,84,84,88,79,76,NULL,NULL,NULL,73,81,80,81,84,84,82,85,85,85,NULL,NULL,NULL,88,75,86,85,82,84,79,86,87,80,NULL,NULL,NULL,89,89,88,75,84,89,89,87,85,88,NULL,NULL,NULL,82,81,77,87,80,80,88,78,86,87,NULL,NULL,NULL,87,82,88,84.06,1,78.16,53,84.05,2,84.18,1,86,1,87.09,1
1387,87,70,82,80,82,73,76,NULL,NULL,NULL,72,80,78,79,83,81,73,78,80,80,NULL,NULL,NULL,83,75,80,85,82,81,79,80,83,78,NULL,NULL,NULL,86,86,88,75,83,85,81,82,81,83,NULL,NULL,NULL,82,80,75,85,81,80,83,74,82,82,NULL,NULL,NULL,82,81,83,80.76,25,83.55,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1388,87,76,80,80,81,77,78,NULL,NULL,NULL,78,80,83,77,83,77,77,76,80,80,NULL,NULL,NULL,86,80,85,84,80,78,78,79,82,77,NULL,NULL,NULL,87,86,88,82,83,80,78,80,80,84,NULL,NULL,NULL,82,78,80,85,78,79,84,79,81,82,NULL,NULL,NULL,84,81,87,80.24,35,78.68,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1389,86,86,92,86,78,82,76,78,75,84,80,81,75,79,80,77,90,88,78,78,76,76,78,88,80,80,77,75,88,77,89,80,79,78,78,77,87,85,82,88,82,76,80,77,93,78,80,76,82,85,83,87,90,77,83,88,85,86,NULL,NULL,NULL,85,85,80,75,83.63,9,76.55,49,78.3,29,83.65,13,86.88,7,89.88,6
1390,99,93,80,97,81,93,82,85,81,95,96,80,98,85,90,92,93,96,97,80,80,81,88,80,79,94,95,82,82,83,92,90,NULL,NULL,NULL,91,85,88,82,92,81,89,90,89,81,NULL,NULL,NULL,78,89,95,82,85,97,96,82,83,82,NULL,NULL,NULL,80,92,91,91,89.84,4,90.03,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1391,87,70,81,80,85,78,76,NULL,NULL,NULL,73,81,80,78,84,80,75,80,84,82,NULL,NULL,NULL,87,75,80,85,82,80,79,81,86,79,NULL,NULL,NULL,88,88,88,74,83,85,85,82,84,84,NULL,NULL,NULL,82,81,77,85,80,78,84,73,85,84,NULL,NULL,NULL,86,85,83,81.26,15,73.79,183,81.21,5,82.18,8,83.18,10,84.91,8
1392,88,88,85,83,82,83,84,82,84,91,89,87,83,92,86,89,80,85,92,NULL,NULL,NULL,86,86,88,80,88,90,81,93,92,94,NULL,NULL,NULL,88,87,85,87,90,92,78,85,83,93,NULL,NULL,NULL,90,83,84,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.55,21,85.59,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1393,83,83,88,82,88,78,82,79,85,81,87,80,80,90,86,90,83,89,84,80,80,80,88,82,85,80,80,85,80,87,90,88,88,80,79,85,84,86,80,86,88,83,85,86,92,88,80,80,88,81,82,89,88,90,82,83,80,90,NULL,NULL,NULL,89,79,90,92,86.07,54,81.22,43,83.67,32,85.59,51,87.81,52,89.63,76
1394,82,78,82,83,85,78,82,78,85,82,87,81,78,88,85,86,80,87,78,80,78,82,89,84,84,75,80,82,79,78,90,87,NULL,NULL,NULL,86,85,85,80,85,86,81,85,84,90,NULL,NULL,NULL,87,81,80,88,86,90,80,84,82,88,NULL,NULL,NULL,88,79,85,90,84.21,104,84.33,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1395,84,83,84,84,90,78,85,83,85,82,87,79,77,91,86,90,80,92,80,80,85,84,89,83,85,76,83,85,77,85,90,90,NULL,NULL,NULL,85,85,86,80,87,90,80,89,83,94,NULL,NULL,NULL,88,81,82,89,89,94,78,86,82,92,NULL,NULL,NULL,89,79,90,93,86.58,40,88.89,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1396,82,83,86,85,90,77,84,81,86,82,86,84,79,92,86,90,86,90,80,80,82,82,88,84,85,85,80,86,84,85,92,82,77,79,79,87,84,87,85,88,86,86,85,88,91,79,80,79,88,82,86,87,90,90,85,84,85,90,NULL,NULL,NULL,88,81,85,94,86.59,39,82.33,14,84.44,17,86.15,36,87.78,53,90.11,60
1397,83,84,84,82,88,77,80,78,85,80,85,80,78,92,87,90,80,90,81,80,80,80,87,81,86,84,80,86,77,80,90,88,NULL,NULL,NULL,81,83,87,80,86,88,81,87,80,92,NULL,NULL,NULL,81,80,82,89,88,91,78,84,78,90,NULL,NULL,NULL,87,79,84,92,85.55,63,90.37,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1398,81,89,83,83,90,94,80,85,84,90,78,80,93,83,84,77,77,85,93,74,79,82,88,90,83,83,87,88,79,72,84,93,NULL,NULL,NULL,87,87,91,83,85,91,74,75,78,89,NULL,NULL,NULL,86,90,78,77,91,79,74,77,78,70,NULL,NULL,NULL,81,84,92,87,83.24,67,84.17,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1399,86,90,93,88,90,93,80,NULL,NULL,NULL,86,87,91,84,77,87,90,81,79,90,NULL,NULL,NULL,90,84,76,87,94,93,92,76,92,77,NULL,NULL,NULL,77,80,80,77,88,80,90,92,90,90,NULL,NULL,NULL,87,92,94,90,85,91,89,92,82,94,NULL,NULL,NULL,90,88,87,87.55,8,79.53,39,84.74,16,89.27,2,90.91,5,91.82,9
1400,95,85,87,91,87,88,88,84,83,84,85,85,90,95,84,86,85,88,84,85,80,81,89,90,87,89,95,87,86,91,89,84,NULL,NULL,NULL,84,88,86,94,90,88,84,81,84,85,NULL,NULL,NULL,88,92,83,88,90,86,83,81,87,87,NULL,NULL,NULL,85,90,86,85,87.57,86,89,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
